line	539	211	539	213	808080
	326	444	326	447	d0d0d0
	342	188	342	190	b0b0b0
	306	446	306	449	d0d0d0
	298	455	298	456	808080
	442	325	442	328	b0b0b0
	418	30	418	33	d0d0d0
	353	458	353	460	808080
	166	405	166	407	
	326	47	326	48	
	194	87	194	88	
	261	241	261	244	d0d0d0
	469	342	469	343	808080
	462	63	462	65	
	424	51	424	53	b0b0b0
	430	30	430	32	808080
	369	15	369	16	
	196	172	196	174	b0b0b0
	388	116	388	119	d0d0d0
	210	456	210	457	808080
	365	137	365	140	d0d0d0
	212	449	212	451	b0b0b0
	504	35	504	36	808080
	336	74	336	76	
	520	229	520	231	b0b0b0
	564	93	564	96	d0d0d0
	168	233	168	236	
	497	295	497	296	808080
	236	102	236	103	
	196	382	196	384	b0b0b0
	519	274	519	275	808080
	312	3	312	5	b0b0b0
	179	306	179	308	
	600	239	600	241	
	201	398	202	399	808080
	588	207	589	208	
	300	142	300	144	b0b0b0
	406	6	407	9	d0d0d0
	280	139	280	142	
	418	30	418	32	808080
	436	106	436	109	d0d0d0
	457	148	457	149	808080
	194	140	194	143	d0d0d0
	233	305	234	308	
	169	268	169	270	808080
	186	269	186	271	b0b0b0
	331	64	332	66	
	507	232	507	235	d0d0d0
	532	426	532	429	
	543	177	543	179	b0b0b0
	301	213	301	214	808080
	174	335	174	338	b0b0b0
	163	430	163	432	808080
	131	402	131	405	b0b0b0
	409	458	409	461	
	553	46	553	47	808080
	240	201	240	204	d0d0d0
	370	323	370	324	808080
	461		461		
	164	452	164	453	
	145	158	146	159	
	264	192	264	195	b0b0b0
	384	224	384	226	808080
	568	156	568	158	
	526	439	526	440	
	508	374	508	376	b0b0b0
	151	424	151	427	d0d0d0
	251	459	251	462	
	260	432	261	434	808080
	412	396	412	398	
	405	83	405	86	b0b0b0
	527	444	527	445	808080
	454	352	454	355	d0d0d0
	328	399	328	402	b0b0b0
	547	336	547	339	
	132	390	132	392	
	300	345	300	347	808080
	439	14	439	17	d0d0d0
	157	29	157	31	b0b0b0
	279	215	279	216	808080
	216	339	216	341	
	187	364	187	365	
	253	21	253	24	b0b0b0
	183	415	183	418	d0d0d0
	538	384	538	385	808080
	224	73	224	75	b0b0b0
	481	50	481	52	808080
	263	137	263	139	b0b0b0
	402	365	402	366	808080
	310	314	310	315	
	283	103	283	104	
	287	287	287	288	
	553	415	553	417	
	216	20	216	22	b0b0b0
	182	196	182	197	808080
	582	32	582	33	
	517	328	517	331	b0b0b0
	582	60	582	62	
	341	212	341	214	
	270	218	270	220	808080
	163	239	163	240	
	380	148	380	150	
	198	356	198	359	d0d0d0
	574	225	574	227	b0b0b0
	189	130	189	131	808080
	201	278	201	279	
	212	466	212	468	
	290	151	290	152	
	217	385	217	388	d0d0d0
	194	71	194	73	b0b0b0
	242	59	242	62	d0d0d0
	351	181	351	184	
	178	105	178	106	808080
	452	394	452	396	
	153	150	153	152	
	155	312	155	314	
	184	451	184	453	b0b0b0
	151	382	151	383	808080
	310	431	310	434	d0d0d0
	570	460	570	463	
	141	471	141	472	808080
	134	241	134	242	
	422	395	422	398	d0d0d0
	367	300	367	303	
	173	206	173	208	b0b0b0
rect	252	0	253	427	002850
	380		381		000050
	508		509		
	128	42	609	43	
		170		171	002850
		298		299	000050
line	231	120	231	121	007fff
	277	180	279	183	ffff7f
	197	30	201	27	
	6	-37	2	-37	007fff
	265	92	262	92	
draw	322	126	326	129	/sprites/510.SMIV/19
	432	299	458	317	/sprites/525.SMIV/21
